level,name,topic,var,question,mrp_estimate,raw_estimate,yes_bin,n
cog,Lower Connecticut River Valley COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.10735938936667364,NA,Yes,1589
cog,Lower Connecticut River Valley COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.9311296699707023,NA,Very often or Fairly often,1586
cog,Lower Connecticut River Valley COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.4962156245494399,NA,Strongly agree or Somewhat agree,1581
cog,Lower Connecticut River Valley COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.6556433608033502,NA,Strongly agree or Somewhat agree,1559
cog,Lower Connecticut River Valley COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.7150705552921162,NA,Strongly agree or Somewhat agree,1517
cog,Lower Connecticut River Valley COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.7516585216845191,NA,Strongly disagree or Somewhat disagree,1579
cog,Lower Connecticut River Valley COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8972311556103614,NA,Strongly agree or Somewhat agree,1542
cog,Lower Connecticut River Valley COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6823274028260332,NA,"Great influence, Moderate influence, or A little influence",1242
cog,Lower Connecticut River Valley COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.6108982577144535,NA,Excellent or Very good,1583
cog,Lower Connecticut River Valley COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6949579872102863,NA,Completely satisfied or Mostly satisfied,1585
cog,Lower Connecticut River Valley COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.7178960170408673,NA,Completely or Mostly,1583
cog,Lower Connecticut River Valley COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.11524871734132533,NA,Completely or Mostly,1578
cog,Lower Connecticut River Valley COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.7089015744661152,NA,Always or Usually,899
cog,Lower Connecticut River Valley COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8761959395180434,NA,Yes,1581
cog,Lower Connecticut River Valley COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.5812923509742459,NA,Excellent or Good,1359
cog,Lower Connecticut River Valley COG,Quality of life,q4d,The job done by the police to keep residents safe,0.8040764814539514,NA,Excellent or Good,1495
cog,Lower Connecticut River Valley COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.5502672573889317,NA,Excellent or Good,1336
cog,Lower Connecticut River Valley COG,Quality of life,q4f,As a place to raise children,0.8451611175169024,NA,Excellent or Good,1454
cog,Lower Connecticut River Valley COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.8220619394357651,NA,Excellent or Good,1522
cog,Lower Connecticut River Valley COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.7470031390272671,NA,Excellent or Good,916
cog,Naugatuck Valley COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.4060805294944604,NA,"Just getting by, Finding it difficult, Finding it very difficult",7250
cog,Naugatuck Valley COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.18040736855294356,NA,Yes,7272
cog,Naugatuck Valley COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.105296044235878,NA,Yes,7268
cog,Naugatuck Valley COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.15462187288508727,NA,Yes,7272
cog,Naugatuck Valley COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.8829037542791159,NA,Very often or Fairly often,7245
cog,Naugatuck Valley COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.5434756594904251,NA,Strongly agree or Somewhat agree,7226
cog,Naugatuck Valley COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.5521947383411475,NA,Strongly agree or Somewhat agree,7109
cog,Naugatuck Valley COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.6914473723922981,NA,Strongly agree or Somewhat agree,7060
cog,Naugatuck Valley COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.6501901062044965,NA,Strongly disagree or Somewhat disagree,7140
cog,Naugatuck Valley COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8087688128221754,NA,Strongly agree or Somewhat agree,7079
cog,Naugatuck Valley COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6091645969690094,NA,"Great influence, Moderate influence, or A little influence",5821
cog,Naugatuck Valley COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5305848988429364,NA,Excellent or Very good,7259
cog,Naugatuck Valley COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6163767749602319,NA,Completely satisfied or Mostly satisfied,7252
cog,Naugatuck Valley COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6682981787439182,NA,Completely or Mostly,7222
cog,Naugatuck Valley COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.1364581841493197,NA,Completely or Mostly,7195
cog,Naugatuck Valley COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6636757280458255,NA,Always or Usually,4517
cog,Naugatuck Valley COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.7913532147570267,NA,Yes,7210
cog,Naugatuck Valley COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.47320406898739525,NA,Excellent or Good,6401
cog,Naugatuck Valley COG,Quality of life,q4d,The job done by the police to keep residents safe,0.705495333238648,NA,Excellent or Good,7029
cog,Naugatuck Valley COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.44657409628947825,NA,Excellent or Good,6211
cog,Naugatuck Valley COG,Quality of life,q4f,As a place to raise children,0.6665828253272968,NA,Excellent or Good,6811
cog,Naugatuck Valley COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.6893679582091857,NA,Excellent or Good,6922
cog,Naugatuck Valley COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.6851150391743625,NA,Excellent or Good,4798
cog,Northeastern Connecticut COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.37666598615384767,NA,"Just getting by, Finding it difficult, Finding it very difficult",1012
cog,Northeastern Connecticut COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.17682410327408293,NA,Yes,1013
cog,Northeastern Connecticut COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.0988434106008376,NA,Yes,1014
cog,Northeastern Connecticut COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.1256556890161047,NA,Yes,1014
cog,Northeastern Connecticut COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.9098392328248659,NA,Very often or Fairly often,1012
cog,Northeastern Connecticut COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.341466958074171,NA,Strongly agree or Somewhat agree,1009
cog,Northeastern Connecticut COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.5608623706121972,NA,Strongly agree or Somewhat agree,994
cog,Northeastern Connecticut COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.5867521583047354,NA,Strongly agree or Somewhat agree,968
cog,Northeastern Connecticut COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.6974458061252897,NA,Strongly disagree or Somewhat disagree,1001
cog,Northeastern Connecticut COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8607967561890897,NA,Strongly agree or Somewhat agree,983
cog,Northeastern Connecticut COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6456541101565456,NA,"Great influence, Moderate influence, or A little influence",768
cog,Northeastern Connecticut COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5420918769544569,NA,Excellent or Very good,1014
cog,Northeastern Connecticut COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6617245827516577,NA,Completely satisfied or Mostly satisfied,1011
cog,Northeastern Connecticut COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6860556810409509,NA,Completely or Mostly,1012
cog,Northeastern Connecticut COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.12792365274862172,NA,Completely or Mostly,1006
cog,Northeastern Connecticut COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6775791590758107,NA,Always or Usually,635
cog,Northeastern Connecticut COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.83246783041797,NA,Yes,1006
cog,Northeastern Connecticut COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.49965333134890727,NA,Excellent or Good,864
cog,Northeastern Connecticut COG,Quality of life,q4d,The job done by the police to keep residents safe,0.7047396410535053,NA,Excellent or Good,888
cog,Northeastern Connecticut COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.43090778034542154,NA,Excellent or Good,884
cog,Northeastern Connecticut COG,Quality of life,q4f,As a place to raise children,0.7972653580925918,NA,Excellent or Good,928
cog,Northeastern Connecticut COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.7518007315109384,NA,Excellent or Good,953
cog,Northeastern Connecticut COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.7324299672242068,NA,Excellent or Good,658
cog,Northwest Hills COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.36547991666073243,NA,"Just getting by, Finding it difficult, Finding it very difficult",1177
cog,Northwest Hills COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.15216437547843353,NA,Yes,1184
cog,Northwest Hills COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.09408605025213436,NA,Yes,1180
cog,Northwest Hills COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.12191944921453444,NA,Yes,1178
cog,Northwest Hills COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.904582718919979,NA,Very often or Fairly often,1175
cog,Northwest Hills COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.42489075857541286,NA,Strongly agree or Somewhat agree,1168
cog,Northwest Hills COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.6345634840884854,NA,Strongly agree or Somewhat agree,1156
cog,Northwest Hills COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.6674756336834473,NA,Strongly agree or Somewhat agree,1124
cog,Northwest Hills COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.706332921915042,NA,Strongly disagree or Somewhat disagree,1163
cog,Northwest Hills COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.856643947173107,NA,Strongly agree or Somewhat agree,1147
cog,Northwest Hills COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6731413447388028,NA,"Great influence, Moderate influence, or A little influence",813
cog,Northwest Hills COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5528875936054697,NA,Excellent or Very good,1181
cog,Northwest Hills COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.656765365449319,NA,Completely satisfied or Mostly satisfied,1182
cog,Northwest Hills COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6935378642704273,NA,Completely or Mostly,1175
cog,Northwest Hills COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.12022583066471935,NA,Completely or Mostly,1174
cog,Northwest Hills COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6891930423620807,NA,Always or Usually,875
cog,Northwest Hills COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8513049440780359,NA,Yes,1168
cog,Northwest Hills COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.5250658740659864,NA,Excellent or Good,1039
cog,Northwest Hills COG,Quality of life,q4d,The job done by the police to keep residents safe,0.7865291592510563,NA,Excellent or Good,1104
cog,Northwest Hills COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.4767160849856198,NA,Excellent or Good,1045
cog,Northwest Hills COG,Quality of life,q4f,As a place to raise children,0.727986515017988,NA,Excellent or Good,1075
cog,Northwest Hills COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.7433865550941466,NA,Excellent or Good,1132
cog,Northwest Hills COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.7335566187292742,NA,Excellent or Good,940
cog,South Central Connecticut COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.36488496513303326,NA,"Just getting by, Finding it difficult, Finding it very difficult",7655
cog,South Central Connecticut COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.17295895091455682,NA,Yes,7665
cog,South Central Connecticut COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.1078207132136559,NA,Yes,7660
cog,South Central Connecticut COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.14400945340540136,NA,Yes,7660
cog,South Central Connecticut COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.8743972591023034,NA,Very often or Fairly often,7622
cog,South Central Connecticut COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.629177624582107,NA,Strongly agree or Somewhat agree,7611
cog,South Central Connecticut COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.6769964677942881,NA,Strongly agree or Somewhat agree,7488
cog,South Central Connecticut COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.7331928738878868,NA,Strongly agree or Somewhat agree,7296
cog,South Central Connecticut COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.6554021551623629,NA,Strongly disagree or Somewhat disagree,7517
cog,South Central Connecticut COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8100857863576708,NA,Strongly agree or Somewhat agree,7451
cog,South Central Connecticut COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6677354172504458,NA,"Great influence, Moderate influence, or A little influence",5787
cog,South Central Connecticut COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.56167589416672,NA,Excellent or Very good,7655
cog,South Central Connecticut COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6434906440537316,NA,Completely satisfied or Mostly satisfied,7638
cog,South Central Connecticut COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6710251452297032,NA,Completely or Mostly,7612
cog,South Central Connecticut COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.14103423439845958,NA,Completely or Mostly,7604
cog,South Central Connecticut COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6710198248253803,NA,Always or Usually,5262
cog,South Central Connecticut COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8306138962505037,NA,Yes,7575
cog,South Central Connecticut COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.4806402035168438,NA,Excellent or Good,6571
cog,South Central Connecticut COG,Quality of life,q4d,The job done by the police to keep residents safe,0.702789759305004,NA,Excellent or Good,7341
cog,South Central Connecticut COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.5061468069840418,NA,Excellent or Good,6347
cog,South Central Connecticut COG,Quality of life,q4f,As a place to raise children,0.6879051149494925,NA,Excellent or Good,6908
cog,South Central Connecticut COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.7185370231661692,NA,Excellent or Good,7325
cog,South Central Connecticut COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.6813699857388167,NA,Excellent or Good,5500
cog,Southeastern Connecticut COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.363602311352285,NA,"Just getting by, Finding it difficult, Finding it very difficult",4077
cog,Southeastern Connecticut COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.15713359146222014,NA,Yes,4088
cog,Southeastern Connecticut COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.09708572025187902,NA,Yes,4086
cog,Southeastern Connecticut COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.15142568520404795,NA,Yes,4092
cog,Southeastern Connecticut COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.8986143062352872,NA,Very often or Fairly often,4078
cog,Southeastern Connecticut COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.48469419463132246,NA,Strongly agree or Somewhat agree,4065
cog,Southeastern Connecticut COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.6157452672006508,NA,Strongly agree or Somewhat agree,3999
cog,Southeastern Connecticut COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.6538892353490762,NA,Strongly agree or Somewhat agree,3957
cog,Southeastern Connecticut COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.7071252006528514,NA,Strongly disagree or Somewhat disagree,4010
cog,Southeastern Connecticut COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8601873736746213,NA,Strongly agree or Somewhat agree,3991
cog,Southeastern Connecticut COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6740013598217186,NA,"Great influence, Moderate influence, or A little influence",3221
cog,Southeastern Connecticut COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5322669745940145,NA,Excellent or Very good,4085
cog,Southeastern Connecticut COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6517864905044656,NA,Completely satisfied or Mostly satisfied,4080
cog,Southeastern Connecticut COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6738983980493565,NA,Completely or Mostly,4061
cog,Southeastern Connecticut COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.1332425922011982,NA,Completely or Mostly,4052
cog,Southeastern Connecticut COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6838515846197754,NA,Always or Usually,2375
cog,Southeastern Connecticut COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8297600330301055,NA,Yes,4061
cog,Southeastern Connecticut COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.477171954482514,NA,Excellent or Good,3520
cog,Southeastern Connecticut COG,Quality of life,q4d,The job done by the police to keep residents safe,0.7621875198355942,NA,Excellent or Good,3903
cog,Southeastern Connecticut COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.49442214738593426,NA,Excellent or Good,3601
